WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION
48;600000.0;F;62;cocinero
16;100000.0;F;18;cocinero
36;1300000.0;F;65;cocinero
20;200000.0;M;74;cocinero
40;800000.0;M;57;cocinero
40;600000.0;M;42;cocinero
38;300000.0;M;82;cocinero
36;450000.0;F;23;cocinero
40;300000.0;M;65;cocinero
12;300000.0;F;40;cocinero
40;600000.0;M;77;cocinero
60;750000.0;M;51;cocinero
48;600000.0;M;17;cocinero
30;800000.0;F;90;cocinero
12;380000.0;M;32;cocinero
50;1400000.0;F;16;cocinero
72;1160000.0;M;70;cocinero
60;1200000.0;M;38;cocinero
24;25000.0;F;58;cocinero
40;150000.0;F;60;cocinero
48;1500000.0;M;14;cocinero
70;900000.0;M;9;cocinero
24;800000.0;M;66;cocinero
48;840000.0;F;31;cocinero
40;1100000.0;M;37;cocinero
70;300000.0;M;34;cocinero
40;690000.0;F;62;cocinero
56;1100000.0;F;35;cocinero
66;1460000.0;F;22;cocinero
55;890000.0;F;28;cocinero
54;1600000.0;M;45;cocinero
70;1260000.0;F;35;cocinero
56;1450000.0;M;32;cocinero
42;280000.0;F;34;cocinero
30;450000.0;M;10;cocinero
48;1450000.0;F;27;cocinero
48;1160000.0;F;14;cocinero
20;400000.0;F;17;cocinero
48;1000000.0;M;30;cocinero
20;250000.0;F;13;cocinero
48;1200000.0;M;29;cocinero
40;300000.0;M;69;cocinero
30;100000.0;F;68;cocinero
70;1160000.0;M;24;cocinero
25;100000.0;F;22;cocinero
48;1116000.0;F;58;cocinero
48;1610000.0;F;74;cocinero
48;1160000.0;M;70;cocinero
48;1450000.0;F;70;cocinero
30;1100000.0;M;16;cocinero
48;1350000.0;F;12;cocinero
60;2450000.0;F;58;cocinero
36;2550000.0;M;14;cocinero
48;1610000.0;F;20;cocinero
10;70000.0;M;70;cocinero
40;1000000.0;F;36;cocinero
24;1190000.0;M;77;cocinero
20;550000.0;F;34;cocinero
40;800000.0;F;81;cocinero
48;960000.0;M;11;cocinero
40;1200000.0;M;29;cocinero
40;700000.0;F;39;cocinero
70;3600000.0;F;59;cocinero
40;1000000.0;F;32;cocinero
50;1000000.0;M;76;cocinero
48;400000.0;F;21;cocinero
24;450000.0;F;64;cocinero
70;900000.0;M;61;cocinero
70;800000.0;M;42;cocinero
42;200000.0;F;54;cocinero
78;600000.0;M;38;cocinero
12;260000.0;M;83;cocinero
48;700000.0;F;53;cocinero
48;1450000.0;F;70;cocinero
55;1400000.0;M;14;cocinero
50;1500000.0;F;6;cocinero
48;1200000.0;F;13;cocinero
40;1020000.0;M;56;cocinero
40;1320000.0;F;29;cocinero
28;740000.0;F;12;cocinero
42;720000.0;M;16;cocinero
7;80000.0;F;50;cocinero
50;1300000.0;F;39;cocinero
48;1000000.0;F;43;cocinero
48;600000.0;M;61;cocinero
40;1000000.0;M;56;cocinero
30;120000.0;F;21;cocinero
21;80000.0;M;59;cocinero
36;650000.0;F;6;cocinero
50;800000.0;M;36;cocinero
48;2500000.0;F;36;cocinero
60;1300000.0;F;66;cocinero
60;1460000.0;F;47;cocinero
48;280000.0;M;6;cocinero
48;900000.0;F;33;cocinero
40;100000.0;M;86;cocinero
25;1200000.0;F;15;cocinero
24;1000000.0;M;45;cocinero
30;985000.0;M;37;cocinero
48;1710000.0;F;46;cocinero
72;1095000.0;F;17;cocinero
35;530000.0;M;56;cocinero
48;1300000.0;F;43;cocinero
48;1300000.0;F;15;cocinero
48;510000.0;F;60;cocinero
48;1160000.0;F;61;cocinero
48;1160000.0;M;86;cocinero
48;1200000.0;M;68;cocinero
70;680000.0;M;40;cocinero
44;780000.0;F;75;cocinero
24;550000.0;F;38;cocinero
40;500000.0;M;50;cocinero
42;300000.0;M;9;cocinero
32;480000.0;M;35;cocinero
24;100000.0;M;29;cocinero
40;1000000.0;M;12;cocinero
48;800000.0;F;15;cocinero
40;800000.0;F;6;cocinero
45;540000.0;M;34;cocinero
40;820000.0;M;62;cocinero
8;70000.0;M;18;cocinero
36;1000000.0;M;13;cocinero
36;1000000.0;F;7;cocinero
42;300000.0;M;53;cocinero
28;300000.0;M;66;cocinero
42;250000.0;M;22;cocinero
45;210000.0;M;48;cocinero
35;60000.0;M;63;cocinero
16;264000.0;F;15;cocinero
70;1340000.0;F;22;cocinero
18;966000.0;F;38;cocinero
84;1210000.0;M;45;cocinero
45;700000.0;F;35;cocinero
48;400000.0;M;36;cocinero
56;1150000.0;M;38;cocinero
60;1600000.0;M;59;cocinero
48;300000.0;M;31;cocinero
12;800000.0;F;26;cocinero
45;300000.0;F;31;cocinero
50;900000.0;F;6;cocinero
48;1300000.0;F;54;cocinero
6;96000.0;M;46;cocinero
42;840000.0;M;29;cocinero
24;600000.0;F;85;cocinero
70;450000.0;M;46;cocinero
48;480000.0;F;26;cocinero
30;400000.0;F;17;cocinero
28;20000.0;M;78;cocinero
40;800000.0;F;6;cocinero
20;200000.0;M;31;cocinero
56;700000.0;M;20;cocinero
54;1000000.0;F;48;cocinero
30;388000.0;F;34;cocinero
40;400000.0;M;16;cocinero
48;1200000.0;F;71;cocinero
48;1440000.0;F;26;cocinero
48;1650000.0;F;53;cocinero
40;500000.0;M;39;cocinero
30;470000.0;M;23;cocinero
40;950000.0;M;6;cocinero
60;900000.0;F;57;cocinero
15;440000.0;M;81;cocinero
30;400000.0;M;30;cocinero
48;1300000.0;F;11;cocinero
50;1160000.0;F;45;cocinero
60;1160000.0;F;38;cocinero
70;300000.0;M;47;cocinero
48;1160000.0;F;40;cocinero
48;2800000.0;F;35;cocinero
60;300000.0;F;48;cocinero
60;720000.0;F;14;cocinero
28;700000.0;F;62;cocinero
70;1960000.0;M;6;cocinero
48;400000.0;F;33;cocinero
21;250000.0;F;14;cocinero
16;200000.0;F;19;cocinero
48;900000.0;F;71;cocinero
48;370000.0;F;9;cocinero
48;800000.0;F;14;cocinero
48;700000.0;M;8;cocinero
48;600000.0;M;40;cocinero
30;180000.0;M;76;cocinero
40;280000.0;F;75;cocinero
35;1000000.0;F;43;cocinero
40;1000000.0;F;40;cocinero
8;260000.0;M;21;cocinero
56;1050000.0;F;40;cocinero
54;1050000.0;M;26;cocinero
60;2080000.0;M;23;cocinero
48;1160000.0;M;28;cocinero
44;288000.0;M;24;cocinero
15;200000.0;F;12;cocinero
66;1560000.0;F;72;cocinero
50;1240000.0;M;5;cocinero
48;840000.0;M;12;cocinero
4;300000.0;F;50;cocinero
38;540000.0;M;53;cocinero
30;400000.0;F;53;cocinero
48;1000000.0;M;20;cocinero
40;340000.0;F;20;cocinero
30;700000.0;F;17;cocinero
60;1200000.0;F;22;cocinero
48;1160000.0;F;46;cocinero
30;460000.0;F;13;cocinero
30;100000.0;F;42;cocinero
10;200000.0;F;49;cocinero
30;600000.0;M;50;cocinero
24;1200000.0;M;15;cocinero
50;900000.0;F;32;cocinero
32;450000.0;F;19;cocinero
30;100000.0;F;48;cocinero
48;920000.0;M;40;cocinero
56;600000.0;M;23;cocinero
20;80000.0;M;29;cocinero
25;325000.0;M;24;cocinero
20;350000.0;F;80;cocinero
40;780000.0;M;49;cocinero
50;1100000.0;F;79;cocinero
48;1650000.0;M;64;cocinero
48;300000.0;F;6;cocinero
30;800000.0;M;17;cocinero
40;640000.0;F;39;cocinero
30;240000.0;F;14;cocinero
48;640000.0;M;21;cocinero
20;520000.0;M;30;cocinero
48;1700000.0;F;32;cocinero
48;900000.0;F;62;cocinero
60;1000000.0;M;23;cocinero
48;650000.0;F;81;cocinero
6;660000.0;F;62;cocinero
18;780000.0;F;6;cocinero
30;444000.0;M;44;cocinero
40;600000.0;F;17;cocinero
48;300000.0;F;37;cocinero
15;50000.0;M;57;cocinero
48;1160000.0;M;66;cocinero
42;1370000.0;F;19;cocinero
72;600000.0;F;58;cocinero
60;1300000.0;F;55;cocinero
60;1200000.0;F;33;cocinero
18;562000.0;M;11;cocinero
30;700000.0;F;66;cocinero
72;920000.0;F;60;cocinero
24;520000.0;M;5;cocinero
24;700000.0;M;7;cocinero
40;1960000.0;F;65;cocinero
10;100000.0;M;43;cocinero
24;560000.0;M;48;cocinero
54;1392000.0;M;6;cocinero
48;2000000.0;F;31;cocinero
56;1160000.0;F;13;cocinero
30;650000.0;F;31;cocinero
40;800000.0;F;25;cocinero
60;1460000.0;F;49;cocinero
48;1200000.0;M;10;cocinero
48;1160000.0;M;30;almacenista
48;1100000.0;M;55;almacenista
48;1300000.0;F;52;almacenista
48;1160000.0;M;54;almacenista
70;1200000.0;F;32;almacenista
48;1200000.0;M;68;almacenista
48;1160000.0;F;25;almacenista
48;1200000.0;F;41;almacenista
56;1700000.0;F;36;almacenista
48;1300000.0;F;82;almacenista
60;1200000.0;F;19;almacenista
48;1800000.0;M;43;almacenista
48;1500000.0;F;67;almacenista
48;1400000.0;F;19;almacenista
48;1800000.0;M;49;almacenista
60;1160000.0;F;77;almacenista
48;2160000.0;F;94;almacenista
60;1118000.0;F;11;almacenista
48;1160000.0;F;47;almacenista
48;1000000.0;F;47;almacenista
48;1160000.0;M;24;almacenista
