CONTRATO_CONT;CONTRATO_TRABAJO;MESES_TRABAJO;HORAS_SEMANA_TRAB;TRABAJO_LUGAR;FONDO;INGRESOS_LABORALES;ACTIVIDAD_DEDICA;OFICIO_C8;ID;URB_RURAL;DEPARTAMENTO;SEXO;AÑOS_CUMPLIDOS;AÑO_NACIMIENTO;CULTURA;Código C.I.U.O.;Nombre Denominación;Descripción Ocupación;EDAD;VALOR_HORA
18;1;12;48;8;1;1360000.0;1;9212;127344945;2;25;F;55;1967.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;55.0;6528.4
9;7;12;48;8;1;2000000.0;1;9212;127344964;2;18;F;22;2000.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;22.0;9600.6
180;4;12;50;8;2;500000.0;1;9212;117344989;2;18;F;53;1969.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;53.0;2304.1
250;4;8;30;8;2;400000.0;1;9212;127344993;2;18;F;28;1994.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;28.0;3072.2
72;7;12;50;8;2;1000000.0;1;9212;127345006;2;63;F;23;1999.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;23.0;4608.3
0;1;9;48;8;2;1160000.0;1;9212;117345012;2;73;M;50;1972.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;50.0;5568.4
360;7;12;48;8;2;1520000.0;1;9212;117345036;1;66;F;53;1969.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;53.0;7296.5
12;7;12;48;8;2;1210000.0;1;9212;127345042;2;23;F;24;1998.0;1;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;24.0;5808.4
130;4;12;40;8;2;350000.0;1;9212;137345109;1;5;F;14;2008.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;14.0;2016.1
180;4;12;40;8;2;400000.0;1;9212;147345109;1;5;M;10;2012.0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.;10.0;2304.1
