MONTHS_WORKED;HOURS_PER_WEEK;URBAN_RURAL;SEX;AGE_RANGE;SALARY_RANK;SEX_BK;OCCUPATION_BK;AGE_RANGE_BK;OCCUPATION
12;72;1;0;3;1;F;cocinero;JUVENTUD;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;1;3;1;M;cocinero;JUVENTUD;16
12;48;1;1;1;1;M;cocinero;ADULTEZ;16
12;56;1;1;1;1;M;cocinero;ADULTEZ;16
6;9;1;0;5;1;F;cocinero;VEJEZ;16
12;30;1;1;3;1;M;cocinero;JUVENTUD;16
12;30;1;0;1;1;F;cocinero;ADULTEZ;16
12;10;1;0;5;1;F;cocinero;VEJEZ;16
1;60;1;1;3;1;M;cocinero;JUVENTUD;16
9;50;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;0;3;2;F;cocinero;JUVENTUD;16
12;60;1;0;1;2;F;cocinero;ADULTEZ;16
12;98;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;50;1;0;3;1;F;cocinero;JUVENTUD;16
2;36;1;1;0;1;M;cocinero;ADOLESCENCIA;16
12;48;1;1;3;2;M;cocinero;JUVENTUD;16
12;66;1;1;1;2;M;cocinero;ADULTEZ;16
12;48;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;48;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;48;1;0;5;2;F;cocinero;VEJEZ;16
12;25;1;1;5;1;M;cocinero;VEJEZ;16
12;20;1;1;1;1;M;cocinero;ADULTEZ;16
12;45;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
8;16;1;1;3;1;M;cocinero;JUVENTUD;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;24;1;0;1;1;F;cocinero;ADULTEZ;16
12;21;1;1;1;1;M;cocinero;ADULTEZ;16
5;84;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
4;50;1;0;5;1;F;cocinero;VEJEZ;16
12;48;1;1;2;1;M;cocinero;INFANCIA;16
12;40;1;0;5;1;F;cocinero;VEJEZ;16
12;105;1;0;1;2;F;cocinero;ADULTEZ;16
12;54;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;1;1;2;M;cocinero;ADULTEZ;16
3;42;1;0;1;1;F;cocinero;ADULTEZ;16
12;60;1;0;1;1;F;cocinero;ADULTEZ;16
12;60;1;1;0;1;M;cocinero;ADOLESCENCIA;16
12;48;1;1;1;2;M;cocinero;ADULTEZ;16
1;30;1;1;5;1;M;cocinero;VEJEZ;16
12;40;1;1;5;1;M;cocinero;VEJEZ;16
12;40;1;0;5;1;F;cocinero;VEJEZ;16
12;24;2;0;2;1;F;cocinero;INFANCIA;16
3;48;1;0;5;1;F;cocinero;VEJEZ;16
8;8;2;1;1;1;M;cocinero;ADULTEZ;16
8;48;2;0;2;1;F;cocinero;INFANCIA;16
12;30;2;1;1;1;M;cocinero;ADULTEZ;16
12;36;1;0;5;1;F;cocinero;VEJEZ;16
12;48;1;0;3;1;F;cocinero;JUVENTUD;16
12;60;1;1;5;2;M;cocinero;VEJEZ;16
12;48;1;0;5;1;F;cocinero;VEJEZ;16
3;48;1;1;1;2;M;cocinero;ADULTEZ;16
12;60;1;0;2;1;F;cocinero;INFANCIA;16
12;48;1;0;1;2;F;cocinero;ADULTEZ;16
12;48;1;1;3;2;M;cocinero;JUVENTUD;16
12;56;1;0;5;2;F;cocinero;VEJEZ;16
12;20;1;0;1;1;F;cocinero;ADULTEZ;16
12;30;1;1;1;1;M;cocinero;ADULTEZ;16
3;70;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
1;54;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;60;1;1;2;2;M;cocinero;INFANCIA;16
12;54;1;1;4;1;M;cocinero;PRIMERA INFANCIA;16
12;40;1;0;0;1;F;cocinero;ADOLESCENCIA;16
4;24;1;1;1;1;M;cocinero;ADULTEZ;16
12;54;1;1;3;2;M;cocinero;JUVENTUD;16
12;48;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;45;1;1;1;1;M;cocinero;ADULTEZ;16
12;40;1;1;0;2;M;cocinero;ADOLESCENCIA;16
4;50;1;1;3;1;M;cocinero;JUVENTUD;16
2;25;1;1;1;1;M;cocinero;ADULTEZ;16
2;8;1;1;5;1;M;cocinero;VEJEZ;16
12;45;1;1;1;1;M;cocinero;ADULTEZ;16
10;20;1;1;1;1;M;cocinero;ADULTEZ;16
1;48;1;0;5;1;F;cocinero;VEJEZ;16
12;60;1;1;5;1;M;cocinero;VEJEZ;16
8;48;1;1;0;1;M;cocinero;ADOLESCENCIA;16
12;24;1;0;1;1;F;cocinero;ADULTEZ;16
12;8;1;1;3;1;M;cocinero;JUVENTUD;16
1;50;1;0;2;1;F;cocinero;INFANCIA;16
8;60;1;0;1;2;F;cocinero;ADULTEZ;16
12;48;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;0;3;1;F;cocinero;JUVENTUD;16
12;14;1;0;4;1;F;cocinero;PRIMERA INFANCIA;16
3;16;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;0;3;1;F;cocinero;JUVENTUD;16
12;20;1;0;1;1;F;cocinero;ADULTEZ;16
12;24;1;1;2;1;M;cocinero;INFANCIA;16
8;54;1;0;1;1;F;cocinero;ADULTEZ;16
12;19;1;1;3;1;M;cocinero;JUVENTUD;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;1;5;1;M;cocinero;VEJEZ;16
12;12;1;1;1;1;M;cocinero;ADULTEZ;16
12;40;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;48;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;24;1;0;1;1;F;cocinero;ADULTEZ;16
12;60;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;54;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;70;1;0;2;1;F;cocinero;INFANCIA;16
12;35;1;1;3;1;M;cocinero;JUVENTUD;16
12;60;1;1;1;2;M;cocinero;ADULTEZ;16
12;48;1;0;5;2;F;cocinero;VEJEZ;16
12;48;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;1;2;2;M;cocinero;INFANCIA;16
12;40;1;0;1;1;F;cocinero;ADULTEZ;16
12;42;1;1;1;1;M;cocinero;ADULTEZ;16
5;50;1;1;5;1;M;cocinero;VEJEZ;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;40;1;0;3;1;F;cocinero;JUVENTUD;16
12;20;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;1;1;2;M;cocinero;ADULTEZ;16
11;48;1;1;1;2;M;cocinero;ADULTEZ;16
12;48;1;1;5;2;M;cocinero;VEJEZ;16
12;48;1;1;2;1;M;cocinero;INFANCIA;16
12;48;1;0;2;1;F;cocinero;INFANCIA;16
12;60;1;1;2;2;M;cocinero;INFANCIA;16
12;15;1;1;0;1;M;cocinero;ADOLESCENCIA;16
12;48;1;0;2;1;F;cocinero;INFANCIA;16
12;48;1;0;5;1;F;cocinero;VEJEZ;16
12;16;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;36;1;0;5;2;F;cocinero;VEJEZ;16
12;20;1;1;5;1;M;cocinero;VEJEZ;16
12;40;1;1;1;1;M;cocinero;ADULTEZ;16
12;40;1;1;1;1;M;cocinero;ADULTEZ;16
8;38;1;1;5;1;M;cocinero;VEJEZ;16
12;36;1;0;3;1;F;cocinero;JUVENTUD;16
12;40;1;1;5;1;M;cocinero;VEJEZ;16
1;12;1;0;1;1;F;cocinero;ADULTEZ;16
12;40;1;1;5;1;M;cocinero;VEJEZ;16
12;60;1;1;1;1;M;cocinero;ADULTEZ;16
5;48;1;1;0;1;M;cocinero;ADOLESCENCIA;16
12;30;1;0;5;1;F;cocinero;VEJEZ;16
6;12;1;1;1;1;M;cocinero;ADULTEZ;16
12;50;1;0;0;2;F;cocinero;ADOLESCENCIA;16
12;72;1;1;5;1;M;cocinero;VEJEZ;16
12;60;1;1;1;2;M;cocinero;ADULTEZ;16
12;24;1;0;1;1;F;cocinero;ADULTEZ;16
11;40;1;0;5;1;F;cocinero;VEJEZ;16
12;48;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;70;1;1;2;1;M;cocinero;INFANCIA;16
12;24;1;1;5;1;M;cocinero;VEJEZ;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
