MONTHS WORKED;WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION;VALUE OF THE HOUR
6;12;380000.0;M;32;cocinero;7296.5
12;50;1400000.0;F;16;cocinero;6451.6
12;72;1160000.0;M;70;cocinero;3712.2
12;60;1200000.0;M;38;cocinero;4608.3
12;24;25000.0;F;58;cocinero;240.0
11;40;150000.0;F;60;cocinero;864.1
12;48;1500000.0;M;14;cocinero;7200.5
12;70;900000.0;M;9;cocinero;2962.5
12;24;800000.0;M;66;cocinero;7680.5
12;48;840000.0;F;31;cocinero;4032.3
12;40;1100000.0;M;37;cocinero;6336.4
12;70;300000.0;M;34;cocinero;987.5
8;40;690000.0;F;62;cocinero;3974.7
12;56;1100000.0;F;35;cocinero;4526.0
12;66;1460000.0;F;22;cocinero;5097.1
12;55;890000.0;F;28;cocinero;3728.5
12;54;1600000.0;M;45;cocinero;6827.1
10;70;1260000.0;F;35;cocinero;4147.5
12;56;1450000.0;M;32;cocinero;5966.1
12;42;280000.0;F;34;cocinero;1536.1
12;30;450000.0;M;10;cocinero;3456.2
12;48;1450000.0;F;27;cocinero;6960.4
12;48;1160000.0;F;14;cocinero;5568.4
12;20;400000.0;F;17;cocinero;4608.3
10;48;1000000.0;M;30;cocinero;4800.3
12;20;250000.0;F;13;cocinero;2880.2
12;48;1200000.0;M;29;cocinero;5760.4
12;40;300000.0;M;69;cocinero;1728.1
8;30;100000.0;F;68;cocinero;768.0
12;70;1160000.0;M;24;cocinero;3818.3
12;25;100000.0;F;22;cocinero;921.7
12;48;1116000.0;F;58;cocinero;5357.1
12;48;1610000.0;F;74;cocinero;7728.5
12;48;1160000.0;M;70;cocinero;5568.4
12;48;1450000.0;F;70;cocinero;6960.4
12;30;1100000.0;M;16;cocinero;8448.5
11;48;1350000.0;F;12;cocinero;6480.4
12;60;2450000.0;F;58;cocinero;9408.6
12;36;2550000.0;M;14;cocinero;16321.0
12;48;1610000.0;F;20;cocinero;7728.5
5;10;70000.0;M;70;cocinero;1612.9
2;40;1000000.0;F;36;cocinero;5760.4
12;24;1190000.0;M;77;cocinero;11424.7
10;20;550000.0;F;34;cocinero;6336.4
7;40;800000.0;F;81;cocinero;4608.3
4;48;960000.0;M;11;cocinero;4608.3
