MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;CODE_C.I.U.O.;OCCUPATION;VALUE_OF_THE_HOUR
12;48;1950000.0;1;F;21;5120;cocinero;9360.6
12;60;1400000.0;1;F;32;5120;cocinero;5376.3
12;98;1000000.0;1;F;13;5120;cocinero;2351.2
12;50;1000000.0;1;F;26;5120;cocinero;4608.3
2;36;300000.0;1;M;12;5120;cocinero;1920.1
12;48;1660000.0;1;M;26;5120;cocinero;7968.5
12;66;1360000.0;1;M;40;5120;cocinero;4747.9
12;48;1540000.0;1;M;14;5120;cocinero;7392.5
12;48;1600000.0;1;M;12;5120;cocinero;7680.5
12;48;1500000.0;1;F;88;5120;cocinero;7200.5
12;25;100000.0;1;M;75;5120;cocinero;921.7
12;20;420000.0;1;M;37;5120;cocinero;4838.7
12;45;800000.0;1;M;34;5120;cocinero;4096.3
12;48;200000.0;1;F;27;5120;cocinero;960.1
8;16;240000.0;1;M;24;5120;cocinero;3456.2
12;48;1000000.0;1;F;39;5120;cocinero;4800.3
12;24;300000.0;1;F;40;5120;cocinero;2880.2
12;21;500000.0;1;M;32;5120;cocinero;5486.1
5;84;1000000.0;1;F;34;5120;cocinero;2743.0
12;48;900000.0;1;F;59;5120;cocinero;4320.3
4;50;800000.0;1;F;70;5120;cocinero;3686.6
12;48;1150000.0;1;M;11;5120;cocinero;5520.4
12;40;300000.0;1;F;88;5120;cocinero;1728.1
12;105;1800000.0;1;F;33;5120;cocinero;3950.0
12;54;600000.0;1;F;50;5120;cocinero;2560.2
12;48;1400000.0;1;M;39;5120;cocinero;6720.4
3;42;1000000.0;1;F;34;5120;cocinero;5486.1
12;60;850000.0;1;F;45;5120;cocinero;3264.2
12;60;900000.0;1;M;14;5120;cocinero;3456.2
12;48;1360000.0;1;M;29;5120;cocinero;6528.4
1;30;30000.0;1;M;90;5120;cocinero;230.4
12;40;700000.0;1;M;69;5120;cocinero;4032.3
12;40;1100000.0;1;F;67;5120;cocinero;6336.4
12;24;400000.0;2;F;9;5120;cocinero;3840.2
3;48;700000.0;1;F;69;5120;cocinero;3360.2
8;8;40000.0;2;M;40;5120;cocinero;1152.1
8;48;920000.0;2;F;9;5120;cocinero;4416.3
12;30;600000.0;2;M;30;5120;cocinero;4608.3
12;36;950000.0;1;F;60;5120;cocinero;6080.4
12;48;300000.0;1;F;25;5120;cocinero;1440.1
12;60;1500000.0;1;M;88;5120;cocinero;5760.4
12;48;1160000.0;1;F;60;5120;cocinero;5568.4
3;48;1300000.0;1;M;37;5120;cocinero;6240.4
12;60;920000.0;1;F;9;5120;cocinero;3533.0
12;48;1380000.0;1;F;32;5120;cocinero;6624.4
12;48;2050000.0;1;M;22;5120;cocinero;9840.6
12;56;1440000.0;1;F;68;5120;cocinero;5925.0
12;20;150000.0;1;F;31;5120;cocinero;1728.1
12;30;380000.0;1;M;39;5120;cocinero;2918.6
3;70;50000.0;1;F;13;5120;cocinero;164.6
12;48;450000.0;1;F;32;5120;cocinero;2160.1
1;54;1000000.0;1;F;12;5120;cocinero;4266.9
12;60;1400000.0;1;M;8;5120;cocinero;5376.3
12;54;750000.0;1;M;5;5120;cocinero;3200.2
12;40;700000.0;1;F;17;5120;cocinero;4032.3
4;24;450000.0;1;M;35;5120;cocinero;4320.3
12;54;1200000.0;1;M;25;5120;cocinero;5120.3
12;48;1150000.0;1;F;15;5120;cocinero;5520.4
12;45;1000000.0;1;M;43;5120;cocinero;5120.3
12;40;1200000.0;1;M;12;5120;cocinero;6912.4
4;50;500000.0;1;M;19;5120;cocinero;2304.1
2;25;150000.0;1;M;39;5120;cocinero;1382.5
2;8;120000.0;1;M;62;5120;cocinero;3456.2
12;45;840000.0;1;M;35;5120;cocinero;4301.1
10;20;200000.0;1;M;37;5120;cocinero;2304.1
1;48;800000.0;1;F;63;5120;cocinero;3840.2
12;60;960000.0;1;M;76;5120;cocinero;3686.6
